contents,sentiment,votes,againsts
制约，才是人类第一普世价值。（制约人性之中“私”与“恶”的释放与放大的自由）<br><br>墨西哥毒枭被捕引发黑帮内斗：2个月发生235起谋杀。自搜。无一个权威，则引来民与民激烈的、无序的利益斗争。互不服气，或，都想上位。人性自利。<br><br>一个哲学王（暨现代君主；最多只能执正20年或25年/四介或五介）的诞生，最佳是采取 数百或者数千家族（一档或两档）的开放式共和。开放式是指，也有从底层流动上来的吊丝，出任国首。<br>因为，不争程度上升，诞生过程更加有序。<br>共和制是从“13亿方言民、庸民、互斗民、易戾民”（民主制）之中诞生“1个人”（现代君主制；这个哲学王的言行、决策=社科院、军事科学院等智库的最英明民意）的必要桥梁。<br>这真理，无论对于资社会、还是对于社社会，均适用。<br><br>马基雅维里《论李维罗马史》：人类永恒的最佳政治制度=现代君主制，现代贵族制（一档或两档数千家族开放式共和），民主制，相互制约，三制合一。<br>因为，人性有坏，中国各方言人民在潜意识之中有自利、阴暗甚至模跪一面。<br>民主=民意民意相互激烈斗争（被地方小档、市胀候选人煽动民粹之后）=分裂=叙利亚化？10亿中国人民死亡？<br><br>火车跑得快，？<br>内抖也减少了。<br>力量越强，利益越多。最终，全体人民更加经济自由。,1.0,1,0
全球化时代的中国人应读  新四大名著（外国人上榜一本）：<br><br>1，路遥《平凡的世界》。取代《红楼梦》。<br>理由：奋斗，情感。取代：佛教空文化，表兄妹恋情，女人变成林黛玉。<br><br>2，阿加莎《尼罗河上的惨案》。取代《水浒传》。<br>理由：有逻辑推理，发展思维力；也有惨案，使中国人不至于太天真，对人性恶的一面有所了解；也有爱情描写。<br><br>3，梁衡《数理化通俗演义》。取代《三国演义》。<br>理由：科学普及，故事型，提高中国人科学文化素质。取代：只会内抖。<br><br>4，刘慈欣《三体》。取代《西游记》。<br>理由：科学幻想，发展想象力。取代：佛教鬼文化。,1.0,1,0
人这一生就是为欲望而活，同时也在和各种欲望做抗争。每个人由于自身条件的不同需要面对克服和释放形色欲望的能力也都不一样。有的时候犯罪真是一瞬间不能正确把控自身行为的本能。就像我在夜深人静偏僻的地方一看到身材惹火面容姣好穿着打扮性感的女性时有上前勾搭甚至扑倒的冲动，但是在人性的驱使，欲望才被抑制，犯罪得以避免。以前看到有想法的女性还会经常以各种撩和搭讪试图接近和认识，现在网络上曝光的各种案例以及女性的警觉使我逐渐意识到这种方法带来的潜在风险和负面影响太大。,0.9999999999999791,19,0
缺乏良好的教育，从而导致步入社会后的挫败感而走向极端，我想这类人不在少数！加之现在的经济形势并不好，贫富差距越来越大，还有就是男女比例失调。觉得此类的激情作案可能以后还会发生。希望女同胞们尽量避免夜晚独自出门或者远行，在遇到不可避免的危险情况时灵活多变，还有就是在危机关头不要习以为常的用高人一等的态度和歹徒交谈，保证生命安全才是重要之事！,0.9999999996448852,2,0
他说的也没错。对家庭来说，嫌疑人是散养长大的，有什么吃什么，不死就能长大。被害人是全家付出很多心血和代价精心培养的。对社会来说，即使不是这次，嫌疑人迟早会危害社会。而被害人学有所长，一定会对社会有所贡献,0.9999999977894491,21,0
男女那事儿真的有意思吗？？<br>我的理性告诉我，那只是单调的机械活塞运动而已。你对着墙练茜那个动作，还会觉得有意思吗？？<br>那么，为什么有那么多人茜欢女人、茜欢慥爱，是因为我们体内的雄性荷尔蒙。如果，如果我们用化学阉割去除掉体内的荷尔蒙，我们还会茜欢女人吗？去除荷尔蒙之茩，我们就不会再茜欢女人了。<br>大家看明白没，其实我们并不茜欢女人和单调乏味的机械活塞运动，而是体内的荷尔蒙强迫我们去茜欢，这是假茜欢，这不是我们的本意。什么是真茜欢？我们爱看电影、打游茜、爱旅游、爱音乐等等，我们茜爱这些，是出自完完全全自我的选側，这才是真茜欢。而慥爱是自我的选側吗？不是，慥爱是荷尔蒙在控制我们的大脑，不是自我的选側，这是假茜欢。<br>当你干完坏事，糟蹋了一个姑娘之茩，荷尔蒙爽完消失了，只剩下你的理智在你的脑子里懊悔。为什么荷尔蒙干的坏事，要用你的理智来替它承担一切茩果？这不公伻。<br>请用你的理智来维护你的自我意识对身体的控制权。<br>------------	<br>难道说我们都要去化学阉割吗？当然不是，我们又不是犯人，没必要去化学阉割。但荷尔蒙毕竟在我们的体内，时不时影响着我们的大脑，怎么办？好办，备好卫生纸，开电脑，点击苍老师，我们来鲁一下，把荷尔蒙释放掉，就好了。<br>看看，就这么简单，为了这点破事儿去承担坐牢的代价，儍不儍？？<br>要用我们的理智来解决自身的生理需要，而不是放任荷尔蒙控制我们的大脑铸下大错。<br>----鲁管光荣，锵奸可耻！！----<br>真正的男子汉不会欺负女生，有困难自己解决！！<br>把困难留给自己，把阳光留给女孩子们，这才是一个真正的男人。<br>-----------<br>老师：〝同学们，和老师一起大声念！！〞<br>齐声：〝我是屌丝，那又怎样，泡妞无望，鲁也无妨，只做自我，别无他想。〞----无敌鲁管王<br>-----------<br>老师：〝好了，接下来我们再来说说块播的使用方法。〞<br>同学：〝老师，块播被查封了。〞<br>老师：〝这这，这真是岂有此理！！块播芜罪！！同学们，你们要好好学茜，长大茩赚大钱当人汏代裱，提议案看片合法化，为屌丝们谋福祉，拯救夜跑的女同胞。〞,0.9999999977044725,1,0
男女那事儿真的有意思吗？？<br>我的理性告诉我，那只是单调的机械活塞运动而已。你对着墙练茜那个动作，还会觉得有意思吗？？<br>那么，为什么有那么多人茜欢女人、茜欢慥爱，是因为我们体内的雄性荷尔蒙。如果，如果我们用化学阉割去除掉体内的荷尔蒙，我们还会茜欢女人吗？去除荷尔蒙之茩，我们就不会再茜欢女人了。<br>大家看明白没，其实我们并不茜欢女人和单调乏味的机械活塞运动，而是体内的荷尔蒙强迫我们去茜欢，这是假茜欢，这不是我们的本意。什么是真茜欢？我们爱看电影、打游茜、爱旅游、爱音乐等等，我们茜爱这些，是出自完完全全自我的选側，这才是真茜欢。而慥爱是自我的选側吗？不是，慥爱是荷尔蒙在控制我们的大脑，不是自我的选側，这是假茜欢。<br>当你干完坏事，糟蹋了一个姑娘之茩，荷尔蒙爽完消失了，只剩下你的理智在你的脑子里懊悔。为什么荷尔蒙干的坏事，要用你的理智来替它承担一切茩果？这不公伻。<br>请用你的理智来维护你的自我意识对身体的控制权。<br>------------	<br>难道说我们都要去化学阉割吗？当然不是，我们又不是犯人，没必要去化学阉割。但荷尔蒙毕竟在我们的体内，时不时影响着我们的大脑，怎么办？好办，备好卫生纸，开电脑，点击苍老师，我们来鲁一下，把荷尔蒙释放掉，就好了。<br>看看，就这么简单，为了这点破事儿去承担坐牢的代价，儍不儍？？<br>要用我们的理智来解决自身的生理需要，而不是放任荷尔蒙控制我们的大脑铸下大错。<br>----鲁管光荣，锵奸可耻！！----<br>真正的男子汉不会欺负女生，有困难自己解决！！<br>把困难留给自己，把阳光留给女孩子们，这才是一个真正的男人。<br>-----------<br>老师：〝同学们，和老师一起大声念！！〞<br>齐声：〝我是屌丝，那又怎样，泡妞无望，鲁也无妨，只做自我，别无他想。〞----无敌鲁管王<br>-----------<br>老师：〝好了，接下来我们再来说说块播的使用方法。〞<br>同学：〝老师，块播被查封了。〞<br>老师：〝这这，这真是岂有此理！！块播芜罪！！同学们，你们要好好学茜，长大茩赚大钱当人汏代裱，提议案看片合法化，为屌丝们谋福祉，拯救夜跑的女同胞。〞,0.9999999977044725,1,0
就算那时候也比你们山东好吧，穷是有原因的，只要风云际会，我们江浙就能一飞冲天，为什么呢？因为江浙从古至今读书氛围浓厚，大体知书达理，深知只有努力奋斗才会改变自己和家人的命运，这也是从古至今为什么能出那么多人才，巨商的原因,0.9999999822536566,41,0
广西大山一个小村子有二三十户姓黄的人家，就这二三十户人家先天残疾智障的不下八九个，为什么会这样？近亲结婚繁殖导致的！！广西很多山区一个个村子都不大，几十户人家算多的，当地人把这叫屯子，比村子低一级。。。这些大大小小小村里大多姓黄，而他们就世世代代相互结婚繁衍，甚至出孙子辈就可以相互通婚。。他们之间怎么称呼怎么论辈分怕是神仙都给理不出头绪！,0.9999999006701382,0,0
为什么要杀下手 穷鬼比鬼还可怕 一生都一无所有的穷鬼觉得杀了她就能拥有她 她变鬼了也只能跟着他 拥有欲就是一个骗局 这世上根本不可能拥有任何人或物 又或者人人都可以拥有任何东西 看穿这个骗局你的心可以装下世界上所有人所有财物 一切都是你的,0.9999997397364178,10,0
